<<<<<<< Updated upstream
,奥,上下,横,,,,横,上下,縦,
Name,Scale,,,Rot,,,Pos,,,
,,,,,,,,,,
StageFloor,200,1,200,0,0,0,0,0,0,
,,,,,,,,,,
StageWall,5,30,40,0,0,0,-102,10,80,
StageWall,5,30,40,0,0,0,-102,10,40,
StageWall,5,30,40,0,0,0,-102,10,0,
StageWall,5,30,40,0,0,0,-102,10,-40,
StageWall,5,30,40,0,0,0,-102,10,-80,
,,,,,,,,,,
StageWall,5,30,40,0,0,0,102,10,80,
StageWall,5,30,40,0,0,0,102,10,40,
StageWall,5,30,40,0,0,0,102,10,0,
StageWall,5,30,40,0,0,0,102,10,-40,
StageWall,5,30,40,0,0,0,102,10,-80,
,,,,,,,,,,
,,,,,,,,,,
StageWall,5,30,40,0,67.55,0,40,10,102,
StageWall,5,30,40,0,67.55,0,0,10,102,
StageWall,5,30,40,0,67.55,0,-40,10,102,
StageWall,5,30,40,0,67.55,0,-80,10,102,
,,,,,,,,,,
StageWall,5,30,40,0,67.55,0,80,10,-102,
StageWall,5,30,40,0,67.55,0,40,10,-102,
StageWall,5,30,40,0,67.55,0,0,10,-102,
StageWall,5,30,40,0,67.55,0,-40,10,-102,
StageWall,5,30,40,0,67.55,0,-80,10,-102,
,,,,,,,,,,
StageBuilding,10,10,10,0,0,0,10,5,0,真ん中
StageBuilding,10,10,10,0,0,0,-10,5,0,真ん中
StageBuilding,10,10,10,0,0,0,50,5,50,右上
StageBuilding,10,10,10,0,0,0,32,5,50,右上
StageBuilding,10,10,10,0,0,0,50,5,-50,右下
StageBuilding,10,10,10,0,0,0,-50,5,-50,左下
StageBuilding,10,10,10,0,0,0,-50,5,50,左上
=======
,奥,上下,横,,,,横,上下,縦
StageBuilding,10,10,10,0,0,0,50,5,-6
StageBuilding,10,10,10,0,0,0,38,5,-6
StageBuilding,10,10,10,0,0,0,38,5,-18
StageBuilding,10,10,10,0,0,0,38,5,-30
StageBuilding,10,10,10,0,0,0,26,5,-30
,,,,,,,,,
StageBuilding,10,10,10,0,0,0,-6,5,-62
StageBuilding,10,10,10,0,0,0,6,5,-50
StageBuilding,10,10,10,0,0,0,-6,5,-50
StageBuilding,10,10,10,0,0,0,-18,5,-50
,,,,,,,,,
StageBuilding,10,10,10,0,0,0,-50,5,6
StageBuilding,10,10,10,0,0,0,-50,5,-6
StageBuilding,10,10,10,0,0,0,-50,5,-18
StageBuilding,10,10,10,0,0,0,-38,5,-18
StageBuilding,10,10,10,0,0,0,-62,5,-18
StageBuilding,10,10,10,0,0,0,-62,5,18
StageBuilding,10,10,10,0,0,0,-50,5,18
,,,,,,,,,
StageBuilding,10,10,10,0,0,0,-6,5,80
StageBuilding,10,10,10,0,0,0,-6,5,92
StageBuilding,10,10,10,0,0,0,6,5,80
StageBuilding,10,10,10,0,0,0,6,5,68
StageBuilding,10,10,10,0,0,0,6,5,56
StageBuilding,10,10,10,0,0,0,6,5,44
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
StageBuilding,10,10,10,0,0,0,64,5,64
StageBuilding,10,10,10,0,0,0,64,5,52
StageBuilding,10,10,10,0,0,0,52,5,64
StageBuilding,10,10,10,0,0,0,52,5,52
,,,,,,,,,
StageBuilding,10,10,10,0,0,0,-52,5,-64
StageBuilding,10,10,10,0,0,0,-52,5,-52
StageBuilding,10,10,10,0,0,0,-64,5,-64
StageBuilding,10,10,10,0,0,0,-64,5,-52
,,,,,,,,,
StageBuilding,10,10,10,0,0,0,-52,5,64
StageBuilding,10,10,10,0,0,0,-52,5,52
StageBuilding,10,10,10,0,0,0,-64,5,64
StageBuilding,10,10,10,0,0,0,-64,5,52
,,,,,,,,,
StageBuilding,10,10,10,0,0,0,64,5,-52
StageBuilding,10,10,10,0,0,0,64,5,-64
StageBuilding,10,10,10,0,0,0,52,5,-52
StageBuilding,10,10,10,0,0,0,52,5,-64
,,,,,,,,,
StageBuilding,10,10,10,0,0,0,85,5,40
StageBuilding,10,10,10,0,0,0,85,5,28
StageBuilding,10,10,10,0,0,0,85,5,16
StageBuilding,10,10,10,0,0,0,85,5,4
StageBuilding,10,10,10,0,0,0,85,5,-8
StageBuilding,10,10,10,0,0,0,85,5,-20
StageBuilding,10,10,10,0,0,0,85,5,-32
StageBuilding,10,10,10,0,0,0,85,5,-44
,,,,,,,,,
Key,2,4,1,0,0,0,3,3,90
>>>>>>> Stashed changes
